Sale_ID,Date,Customer_ID,Bike_Model,Price,Quantity,Store_Location,Salesperson_ID,Payment_Method,Customer_Age,Customer_Gender
74,07-02-2023,2401,Cruiser,888.34,1,Philadelphia,304,Credit Card,32,Male
75,20-09-2021,3519,Folding Bike,1334.89,3,New York,906,Cash,19,Male
76,02-07-2024,6407,Mountain Bike,3122.5,5,Chicago,336,Apple Pay,61,Male
77,08-06-2022,9534,Road Bike,1686.31,4,Houston,528,Debit Card,38,Male
78,23-01-2023,8374,Hybrid Bike,2531,1,San Antonio,346,Credit Card,34,Female
79,04-08-2021,6132,Cruiser,3382.52,1,San Antonio,787,Credit Card,22,Female
80,21-09-2021,5736,Road Bike,2671.27,2,Philadelphia,248,Cash,65,Female
81,12-06-2020,9972,BMX,3337.3,5,Philadelphia,404,Debit Card,46,Female
82,18-05-2023,3022,Electric Bike,1770.57,4,Chicago,518,Debit Card,64,Male
83,18-08-2023,2444,Electric Bike,2986.96,5,Philadelphia,612,PayPal,63,Male
84,29-06-2024,8722,Cruiser,2834.1,2,Chicago,782,Credit Card,26,Male
85,02-08-2024,3617,Folding Bike,3623.45,2,San Antonio,449,Credit Card,28,Male
86,06-10-2021,4118,Cruiser,2010.95,4,Phoenix,779,Credit Card,70,Male
87,08-02-2020,8849,Folding Bike,608.93,3,Phoenix,452,Credit Card,23,Male
88,27-07-2021,4281,Road Bike,727.49,1,Philadelphia,849,Apple Pay,62,Female
89,14-08-2024,9422,Folding Bike,638.16,2,Philadelphia,480,PayPal,58,Male
90,05-02-2020,4849,BMX,1557.08,4,Chicago,995,Credit Card,54,Female
91,06-09-2022,8937,Road Bike,2775.14,3,Chicago,401,Apple Pay,56,Male
92,06-07-2024,9035,Electric Bike,2234.4,2,New York,977,PayPal,59,Female
93,10-12-2021,3144,Electric Bike,1803.99,2,San Antonio,405,Apple Pay,23,Female
94,19-11-2022,6698,Cruiser,1924.91,4,Philadelphia,453,Google Pay,25,Female
95,04-02-2023,9046,Folding Bike,661.28,5,Philadelphia,213,Debit Card,70,Female
96,08-05-2020,5487,Hybrid Bike,4504.65,1,Philadelphia,629,Cash,70,Male
97,21-02-2020,2644,Electric Bike,1548.33,3,Phoenix,961,Apple Pay,70,Female
98,13-11-2023,9984,Mountain Bike,227.98,2,Chicago,536,Credit Card,70,Female
99,06-02-2024,5912,BMX,3580.44,1,Phoenix,299,Credit Card,36,Female
100,13-09-2020,5259,Hybrid Bike,1672.77,3,Chicago,947,Google Pay,27,Female
101,26-03-2021,6324,Road Bike,3982.89,1,Phoenix,462,PayPal,44,Female
102,14-10-2021,6359,Hybrid Bike,4497.57,2,Houston,572,Cash,19,Female
103,30-08-2023,4450,Hybrid Bike,1767.21,4,New York,982,Apple Pay,21,Female
104,26-10-2022,8115,BMX,2244.59,4,Phoenix,525,Credit Card,53,Female
105,27-11-2020,8520,Folding Bike,242.79,4,Houston,885,Google Pay,58,Male
106,29-04-2022,3743,BMX,4826.21,4,New York,272,PayPal,32,Male
107,05-07-2022,1757,Cruiser,3619.29,5,Chicago,838,Apple Pay,47,Female
108,16-07-2022,8531,Cruiser,4710.42,1,New York,847,PayPal,47,Female
109,31-10-2020,9445,Mountain Bike,3579.78,3,New York,423,Apple Pay,49,Female
110,11-10-2020,9024,Folding Bike,2469.39,3,Philadelphia,499,Debit Card,62,Male
111,29-06-2022,1707,BMX,3128.86,2,Los Angeles,944,Google Pay,52,Female
112,06-11-2021,2473,Cruiser,4610.91,3,Philadelphia,647,Apple Pay,33,Male
113,10-04-2020,3843,Folding Bike,1422.01,3,Houston,733,Credit Card,56,Female
114,04-10-2022,9383,Mountain Bike,4116.38,4,Phoenix,761,PayPal,65,Male
115,28-10-2021,9700,Road Bike,2690.59,4,New York,145,Debit Card,26,Female
116,20-04-2023,6925,Electric Bike,3231.44,4,San Antonio,709,Cash,43,Male
117,01-06-2023,8153,BMX,3284.69,1,New York,618,Cash,61,Female
118,11-08-2021,2662,BMX,3270.99,2,San Antonio,375,Credit Card,53,Female
119,25-06-2021,4113,Hybrid Bike,1586.87,4,Houston,379,Cash,70,Male
120,16-06-2022,4152,Hybrid Bike,1957.72,2,Phoenix,360,PayPal,54,Female
121,25-10-2021,1804,BMX,2829.23,2,Phoenix,933,Credit Card,64,Male
122,26-05-2021,7698,Folding Bike,2259.03,4,Los Angeles,271,PayPal,24,Female
123,05-10-2023,2586,Electric Bike,326.14,1,San Antonio,763,Debit Card,60,Female
124,03-01-2023,5680,Road Bike,1346.33,4,San Antonio,878,Apple Pay,47,Female
125,14-03-2022,3874,Cruiser,3254.49,5,Phoenix,745,Apple Pay,30,Male
126,19-06-2023,1817,Hybrid Bike,2380.58,4,Houston,909,Credit Card,54,Male
127,13-06-2024,3464,Electric Bike,2274.67,2,San Antonio,598,PayPal,21,Male
128,21-09-2021,2717,Hybrid Bike,2257.32,2,San Antonio,117,Cash,25,Male
129,19-05-2020,6019,Road Bike,783.31,3,Chicago,654,Credit Card,34,Female
130,08-01-2020,2200,Mountain Bike,874.62,5,New York,196,Debit Card,18,Female
131,01-05-2023,1215,BMX,2659.28,2,Los Angeles,712,PayPal,61,Male
132,21-11-2021,6688,Hybrid Bike,533.51,1,Houston,282,Apple Pay,24,Female
133,24-12-2020,8491,Hybrid Bike,4867.16,4,New York,494,Credit Card,21,Male
134,29-04-2022,3629,BMX,1321.74,1,Phoenix,955,Apple Pay,30,Male
135,25-07-2024,2660,Road Bike,4002.62,2,Philadelphia,631,Cash,21,Female
136,12-04-2023,3491,Road Bike,2646.05,3,Phoenix,429,PayPal,41,Male
137,07-02-2023,2914,Hybrid Bike,1209.19,3,Houston,700,Credit Card,45,Male
138,04-02-2022,6212,Cruiser,1354.08,2,Phoenix,861,Credit Card,35,Female
139,30-10-2023,4463,Folding Bike,1652.44,2,San Antonio,419,Debit Card,56,Female
140,24-10-2023,3044,Hybrid Bike,1241.87,1,Houston,412,Cash,60,Male
141,30-06-2024,2357,Cruiser,1151.75,5,Philadelphia,845,PayPal,66,Female
142,12-07-2020,3456,Folding Bike,2801.12,4,Chicago,136,Debit Card,29,Female
143,18-11-2021,5825,Electric Bike,2352.45,1,Philadelphia,273,Credit Card,28,Male
144,10-09-2022,1418,Road Bike,3652.29,4,Los Angeles,120,Google Pay,43,Female
145,28-04-2024,1863,Cruiser,1909.79,2,Chicago,741,PayPal,33,Male
146,03-03-2020,2135,Cruiser,1399.37,2,Chicago,131,Google Pay,70,Female
147,09-03-2023,9753,BMX,2115.28,1,Los Angeles,756,Cash,25,Male
148,28-11-2023,9559,Electric Bike,3577.98,1,Philadelphia,577,Apple Pay,60,Male
149,28-01-2023,1745,BMX,918.64,3,Philadelphia,965,Credit Card,54,Male
150,25-06-2021,8826,Hybrid Bike,3458.87,4,Chicago,807,Debit Card,46,Male
151,06-11-2021,3183,Electric Bike,2624.71,4,Philadelphia,692,Debit Card,37,Female
152,09-08-2020,1704,BMX,853.88,5,Houston,864,Apple Pay,33,Male
153,10-10-2020,1063,Electric Bike,2776.79,3,Chicago,496,Google Pay,43,Female
154,13-09-2023,3315,Cruiser,4843.8,1,New York,977,Google Pay,34,Male
155,10-07-2021,5618,Folding Bike,4594.12,4,Los Angeles,864,PayPal,38,Male
156,03-03-2023,7284,Electric Bike,1661.19,4,Philadelphia,729,Debit Card,24,Male
157,17-09-2020,8642,Mountain Bike,4041.34,5,New York,898,Debit Card,53,Male
158,27-05-2021,4066,Mountain Bike,747.63,1,Phoenix,383,Debit Card,43,Female
159,20-08-2022,6874,Folding Bike,3392.71,1,San Antonio,797,Cash,59,Female
160,22-03-2021,4491,Electric Bike,2963.39,2,Los Angeles,513,Apple Pay,21,Female
161,18-08-2021,2283,Road Bike,4290.82,5,Phoenix,843,Google Pay,56,Female
162,16-07-2023,5258,Cruiser,579.97,1,Chicago,930,Cash,64,Male
163,17-07-2023,9230,Mountain Bike,4021.76,2,Houston,686,Debit Card,37,Male
164,02-03-2021,2316,Electric Bike,3982.45,2,Houston,607,Apple Pay,61,Female
165,29-02-2024,1282,Folding Bike,984.65,5,Chicago,344,PayPal,69,Female
166,09-10-2023,6152,Electric Bike,514.13,4,Houston,895,Credit Card,62,Female
167,27-04-2023,1105,Electric Bike,4012.24,4,Houston,569,Credit Card,20,Male
168,31-07-2023,5200,Hybrid Bike,677.51,3,Chicago,147,Google Pay,28,Female
169,15-01-2021,3917,Cruiser,1419.26,3,Houston,772,Debit Card,48,Female
170,03-12-2020,1072,Hybrid Bike,1139.47,2,Los Angeles,561,Apple Pay,30,Female
171,02-04-2023,8836,BMX,4691.31,1,Los Angeles,936,Credit Card,47,Male
172,21-07-2022,8047,BMX,1383.75,3,Los Angeles,622,PayPal,53,Female
173,25-12-2021,4943,Hybrid Bike,2950.48,2,Los Angeles,330,Cash,26,Female
174,13-12-2023,2059,Hybrid Bike,2213.13,1,Los Angeles,420,Credit Card,55,Female
175,08-08-2022,5856,Hybrid Bike,2991.29,4,New York,348,Debit Card,32,Female
176,29-08-2020,2258,Electric Bike,4856.07,4,Houston,886,Credit Card,70,Male
177,18-04-2020,8102,Electric Bike,4950.14,3,San Antonio,866,Debit Card,21,Female
178,18-10-2020,8963,Cruiser,2053.54,2,San Antonio,715,Cash,50,Male
179,05-01-2024,7085,Cruiser,3546.33,3,New York,768,PayPal,63,Female
180,03-12-2023,3350,BMX,759.62,1,Chicago,115,Google Pay,59,Female
181,02-09-2022,9205,BMX,1122.09,5,Phoenix,369,Credit Card,23,Male
182,23-05-2022,6859,Road Bike,239.61,4,New York,919,PayPal,67,Male
183,12-11-2022,2350,Folding Bike,1100.52,1,Chicago,284,Apple Pay,34,Female
184,20-03-2021,1970,BMX,2147.41,4,Houston,710,Cash,26,Male
185,04-11-2023,2723,Electric Bike,378.57,5,Houston,563,Credit Card,53,Male
186,01-01-2023,8551,Folding Bike,3280.72,5,Phoenix,617,Cash,69,Female
187,21-04-2021,5718,Mountain Bike,3544.5,4,Houston,210,Debit Card,20,Male
188,26-07-2024,4935,Cruiser,469.95,3,Chicago,149,Apple Pay,19,Female
189,27-07-2020,9907,Electric Bike,1179.72,2,Houston,204,Debit Card,52,Female
190,05-01-2023,1167,BMX,3415.6,4,San Antonio,299,Credit Card,60,Male
191,12-09-2020,1401,Road Bike,1938.62,2,Chicago,907,Cash,27,Male
192,12-06-2023,8310,Mountain Bike,567.81,2,Chicago,401,Cash,68,Male
193,17-04-2023,8290,Electric Bike,1086.97,2,San Antonio,363,Cash,63,Female
194,06-11-2021,9046,Folding Bike,2652.05,5,Chicago,515,Debit Card,55,Male
195,03-11-2020,3611,Electric Bike,4439.55,1,Chicago,731,PayPal,27,Female
196,03-12-2023,7646,Hybrid Bike,2095.06,3,Philadelphia,583,Cash,22,Female
197,20-10-2022,7991,Electric Bike,4153.72,5,San Antonio,614,Debit Card,22,Female
198,29-09-2020,4283,Hybrid Bike,4225.44,2,Phoenix,118,Credit Card,62,Female
199,30-10-2020,1606,Folding Bike,2034.75,4,Los Angeles,780,Cash,53,Male
200,31-08-2022,5333,Mountain Bike,2101.32,5,Philadelphia,248,Debit Card,46,Male
201,15-08-2020,5502,Mountain Bike,1182.71,5,San Antonio,873,Debit Card,45,Female
202,28-01-2022,5956,Folding Bike,2371.66,1,Chicago,261,PayPal,18,Male
203,23-06-2023,4313,Cruiser,4469.86,2,Philadelphia,480,Apple Pay,45,Male
204,15-02-2022,2195,BMX,1083.25,3,Los Angeles,414,Apple Pay,39,Female
205,04-04-2024,9729,Road Bike,3648.55,2,San Antonio,301,Apple Pay,52,Female
206,22-04-2024,1335,Cruiser,1162.88,5,Houston,630,Google Pay,31,Male
207,17-03-2024,8636,BMX,2400.08,3,Houston,388,Google Pay,65,Female
208,24-01-2022,4967,Electric Bike,368.38,3,San Antonio,263,Google Pay,43,Male
209,15-05-2023,6740,BMX,715.07,3,Chicago,869,Credit Card,55,Female
210,12-02-2021,6102,Road Bike,781.95,5,New York,360,Credit Card,26,Female
211,16-01-2020,1405,Electric Bike,2590.57,4,Phoenix,323,Google Pay,48,Female
212,25-12-2022,1429,Road Bike,283.56,4,Philadelphia,390,Credit Card,70,Male
213,29-09-2022,3043,Hybrid Bike,1640.83,5,Phoenix,869,Cash,70,Male
214,13-07-2021,9930,Cruiser,410.52,2,San Antonio,743,Credit Card,48,Male
215,25-04-2021,5266,Road Bike,3662.45,5,San Antonio,345,PayPal,24,Male
216,04-05-2024,2000,Mountain Bike,3804.66,5,Chicago,325,Google Pay,41,Male
217,19-11-2021,1153,Mountain Bike,3874.73,5,Houston,264,Debit Card,45,Male
218,09-09-2022,8161,Road Bike,3008.8,2,Houston,467,Google Pay,63,Male
219,27-10-2021,8421,BMX,1094.33,5,San Antonio,220,Google Pay,51,Female
220,04-05-2022,5408,Cruiser,4865.96,1,San Antonio,902,Google Pay,39,Female
221,12-06-2020,9977,BMX,1610.41,2,Phoenix,840,Apple Pay,63,Male
222,08-01-2024,3177,BMX,4196.42,4,San Antonio,640,Cash,59,Female
223,27-06-2020,4298,Folding Bike,523.58,5,Los Angeles,895,Debit Card,69,Male
224,13-06-2021,8501,Road Bike,755.12,2,San Antonio,824,Apple Pay,44,Male
225,02-03-2020,9407,BMX,1125.94,5,Phoenix,635,Debit Card,46,Female
226,11-07-2022,7713,Electric Bike,1625.12,1,Phoenix,983,Apple Pay,19,Male
227,05-09-2023,6823,Mountain Bike,2295.95,1,New York,357,Credit Card,30,Female
228,05-05-2024,4181,Cruiser,4792.01,1,Philadelphia,946,Debit Card,63,Male
229,08-08-2022,2388,Cruiser,3953.24,5,Los Angeles,362,Cash,31,Male
230,25-11-2021,8293,Folding Bike,2512.09,2,Phoenix,712,Debit Card,53,Male
231,05-07-2022,2639,Road Bike,319.66,3,Houston,722,Google Pay,37,Male
232,18-02-2023,8166,Hybrid Bike,2448.23,2,Houston,194,Credit Card,23,Female
233,19-05-2020,2217,BMX,2811.37,1,New York,439,Apple Pay,54,Female
234,02-07-2021,9941,Cruiser,3040.66,2,Chicago,135,Cash,51,Male
235,02-07-2021,5565,BMX,2452.92,2,New York,559,Credit Card,66,Male
236,30-04-2020,9498,BMX,926.26,5,Philadelphia,321,Debit Card,28,Female
237,11-02-2022,4650,Hybrid Bike,648.11,4,Chicago,147,Debit Card,37,Male
238,10-01-2023,2165,Folding Bike,3604.49,4,Chicago,190,Google Pay,31,Male
239,07-06-2024,6426,Folding Bike,735.44,1,Phoenix,723,Cash,37,Female
240,09-06-2021,6026,Hybrid Bike,515.4,1,San Antonio,195,Credit Card,25,Male
241,09-08-2020,1461,Cruiser,3293.23,2,San Antonio,333,Cash,46,Female
242,06-02-2022,8623,Road Bike,3847.77,5,Los Angeles,899,Credit Card,49,Female
243,13-05-2024,5104,BMX,1589.04,2,New York,475,Google Pay,21,Female
244,18-09-2022,9840,Mountain Bike,4437.86,4,Los Angeles,770,PayPal,27,Female
245,22-11-2021,3052,BMX,334.86,2,Chicago,989,Credit Card,23,Male
246,06-09-2024,9559,Cruiser,450.5,2,Chicago,737,Credit Card,66,Female
247,16-05-2022,2397,Hybrid Bike,3817.79,4,San Antonio,245,PayPal,24,Male
248,25-06-2021,5287,BMX,513.54,4,Philadelphia,503,Credit Card,69,Male
249,08-01-2023,6089,Electric Bike,2484.86,4,Houston,311,PayPal,57,Female
250,31-12-2022,3357,BMX,2578.17,4,Phoenix,455,Cash,50,Female
251,09-04-2024,1101,Electric Bike,3512.01,1,Los Angeles,775,Apple Pay,68,Female
252,13-07-2022,7191,Folding Bike,3792.35,2,Philadelphia,213,Cash,52,Female
253,07-05-2022,5890,Electric Bike,4762.38,3,Chicago,629,Credit Card,66,Female
254,10-05-2024,8036,Folding Bike,478.7,1,Houston,710,Google Pay,46,Male
255,19-05-2023,6117,Folding Bike,1745.76,5,San Antonio,913,Debit Card,52,Male
256,15-07-2021,8501,BMX,3866.22,5,Phoenix,888,Apple Pay,57,Female
257,20-09-2020,2556,Electric Bike,4661.88,5,New York,821,Google Pay,63,Female
258,12-04-2024,4549,Mountain Bike,1718.9,5,Houston,503,Debit Card,58,Female
259,21-04-2020,5143,BMX,3554.81,1,San Antonio,433,Cash,38,Male
260,22-09-2021,3671,BMX,2264.96,5,Phoenix,276,Credit Card,68,Female
261,26-03-2023,5277,Mountain Bike,337.46,4,Chicago,227,PayPal,54,Male
262,09-09-2022,8197,Mountain Bike,4861.06,4,Chicago,195,Google Pay,55,Female
263,29-01-2023,2354,Electric Bike,2958.72,1,San Antonio,442,Apple Pay,24,Male
264,26-01-2023,8115,Folding Bike,4967.05,5,New York,712,Debit Card,37,Male
265,01-02-2023,1789,Cruiser,3283.14,1,Los Angeles,564,Google Pay,66,Male
266,27-08-2021,4224,Hybrid Bike,1827.86,3,Phoenix,769,Cash,22,Male
267,30-09-2020,7808,Mountain Bike,4939.89,3,Phoenix,246,Credit Card,43,Male
268,20-09-2021,6322,BMX,4386.24,3,Phoenix,153,Google Pay,31,Male
269,26-03-2021,8374,Hybrid Bike,2817.24,5,Houston,505,Apple Pay,24,Male
270,02-10-2020,5653,Electric Bike,4734.5,2,Los Angeles,947,Debit Card,51,Male
271,26-04-2021,9886,Road Bike,1944.74,1,Houston,946,Apple Pay,50,Male
272,01-10-2021,3820,Electric Bike,2332.86,3,Philadelphia,179,Cash,35,Female
273,04-10-2023,7023,BMX,4594.9,5,New York,912,Debit Card,23,Male
274,04-07-2021,4479,Electric Bike,3085.52,5,New York,615,PayPal,68,Female
275,29-12-2022,4773,BMX,1548.07,2,New York,931,Google Pay,21,Female
276,11-06-2020,3350,Cruiser,3587.22,3,Los Angeles,663,Credit Card,62,Female
277,02-09-2023,9607,Road Bike,2693.1,5,Phoenix,207,Credit Card,54,Female
278,03-09-2021,2187,Folding Bike,3595.46,4,Los Angeles,360,PayPal,53,Female
279,22-06-2021,9631,Road Bike,1947.49,1,Los Angeles,408,PayPal,21,Female
280,29-04-2024,4547,Hybrid Bike,2988.5,5,San Antonio,202,Apple Pay,25,Male
281,02-09-2024,6960,BMX,2206.05,2,San Antonio,497,Apple Pay,62,Male
282,27-03-2022,2397,Hybrid Bike,2862.3,4,San Antonio,264,Google Pay,27,Female
283,19-02-2022,7086,Cruiser,3602.07,3,Chicago,603,Google Pay,65,Male
284,21-09-2022,2224,Hybrid Bike,2726.48,3,New York,581,Credit Card,18,Male
285,26-03-2023,4276,BMX,3906.09,4,New York,438,PayPal,60,Female
286,17-11-2021,6577,Road Bike,4060.39,5,Philadelphia,560,Cash,46,Female
287,01-02-2021,8515,Electric Bike,3312.4,3,Houston,650,PayPal,62,Male
288,06-06-2021,2614,Hybrid Bike,3467.04,2,New York,554,Credit Card,23,Male
289,16-03-2022,6445,Cruiser,745.81,2,Chicago,870,Google Pay,28,Male
290,29-01-2021,3932,BMX,2555.01,2,New York,742,PayPal,52,Female
291,09-03-2020,4367,Road Bike,4836.45,1,Chicago,721,Cash,31,Female
292,21-11-2022,1533,Electric Bike,3535.13,3,Los Angeles,971,PayPal,56,Male
293,11-02-2021,8777,Electric Bike,1780.97,2,Philadelphia,883,PayPal,44,Male
294,28-05-2024,3531,Road Bike,4497.54,2,Los Angeles,690,PayPal,21,Female
295,06-06-2024,9238,Electric Bike,847.53,1,Philadelphia,100,PayPal,62,Male
296,05-06-2022,6051,BMX,3295.92,2,Houston,504,Google Pay,28,Male
297,05-02-2024,1387,Folding Bike,1443.72,1,New York,915,Debit Card,38,Male
298,09-09-2022,1737,BMX,511.63,4,Phoenix,507,Credit Card,42,Female
299,28-11-2023,2521,Electric Bike,3812.17,4,New York,969,Credit Card,52,Female
300,15-05-2020,8759,Electric Bike,4373.78,5,Chicago,868,PayPal,35,Female
301,31-03-2021,6083,Cruiser,3232.01,5,Houston,177,Cash,61,Male
302,20-08-2022,6897,Hybrid Bike,4369.49,1,Phoenix,405,PayPal,56,Female
303,16-06-2024,1907,Electric Bike,2628.99,3,Philadelphia,707,PayPal,38,Male
304,06-04-2020,6309,Cruiser,2801.53,2,Chicago,193,Apple Pay,63,Female
305,21-05-2024,5217,Cruiser,4500.6,1,Philadelphia,167,PayPal,46,Female
306,26-04-2024,2701,Hybrid Bike,1509.5,2,Chicago,421,PayPal,70,Female
307,25-07-2020,8697,Electric Bike,1192.57,2,Los Angeles,317,Apple Pay,41,Female
308,01-07-2024,4513,Electric Bike,4783.61,1,Philadelphia,291,Credit Card,61,Male
309,21-07-2021,1754,Road Bike,1766.24,4,San Antonio,105,Google Pay,29,Male
310,20-08-2021,6019,BMX,4722.81,5,San Antonio,461,Cash,30,Female
311,14-08-2022,2212,Mountain Bike,2398.1,4,Chicago,241,Credit Card,59,Female
312,20-03-2024,8304,Road Bike,2778.65,4,New York,566,PayPal,40,Female
313,02-02-2021,2797,Cruiser,3074.81,4,New York,237,Debit Card,22,Male
314,08-10-2022,6703,Road Bike,1452.41,5,New York,488,PayPal,51,Male
315,02-02-2020,1997,Mountain Bike,2284.98,2,New York,693,Credit Card,63,Male
316,30-01-2020,2955,Hybrid Bike,4810.53,4,Philadelphia,280,Cash,37,Male
317,09-01-2020,2268,BMX,2006.48,4,Houston,701,Google Pay,41,Male
318,30-07-2020,2373,Hybrid Bike,2270.93,5,Houston,983,Google Pay,39,Female
